Order,ID,Title,Bucket,Description,Why,Strategy fit,Priority,Status,Effort,Phase,Dependencies,Notes,Date Added
,I-013,Per-user-per-day shopping rate limit (max 2 lists/24h per user),Infra/CMS,"Even within free-tier quota, throttle a single user to N shopping lists per rolling 24h to prevent one user burning all SERPER_DAILY_BUDGET in 5 minutes. Default 2 lists/user/24h. Server-side: count user's lists in last 24h before allowing new run; if exceeded, return 503 {code:'user_rate_limited'}.","Without this, 25 abusive lists from one user trip the global budget (200/day) and lock everyone out. Layered defense: per-user quota (existing) → per-user rate limit (this) → global budget (I-009).",Both,P1,Done (in production),S,1,I-009,Phase B+ of observability initiative. Defer until owner sees actual usage patterns.,2026-07-05
,I-015,EmailJS account audit — 'hello@designature.studio' ownership unknown,Infra/CMS,"Owner has working access to the hello@designature.studio EmailJS account (2026-05-15 confirmed via saved password). Notifications email set to anahit@designature.studio. Account login and template 'To Email' both point at hello@ — consistent with the site's 5 other public-facing references to hello@ (Footer, StudioPage contact block, privacy policy, terms, FeedbackModal fallback). Full hardening — change account password to one Anahit controls + document any external parties who had historical access + decide whether to migrate account login email to anahit@ — DEFERRED. Tracked here for revisit.","Recovery time bomb if hello@ is controlled externally (party could reset EmailJS anytime). Currently mitigated: Anahit has working access and Notifications go to her personal address, so any account-recovery email also reaches her. Full audit defer-able but not forever.",Both,P2,"Partial (access confirmed, hardening deferred)",S,1,,"Discovered 2026-05-15. Resolution 2026-05-15: Anahit confirmed working access via hello@ + Notifications routed to anahit@designature.studio. Full hardening (password change, ownership audit, possible account-email migration) deferred to a future cleanup pass. Re-open if EmailJS sees unexpected activity or before scaling contact-form usage.",2026-05-15
,I-026,Retailer CRUD in Sanity — replace hardcoded retailers.ts with browser-editable catalog,Infra/CMS,"Make the Shopping List retailer catalog browser-editable via Sanity Studio (same pattern as portfolio projects). TODAY src/data/retailers.ts holds 10 hardcoded US retailers; every add/remove requires a code change + PR + deploy. AFTER: define a `retailer` document type in the Sanity Studio repo (E:/Business/Claude/Portfolio/studio) with fields { name (string, required), domain (string, required), category (array of strings — Furniture/Lighting/Decor/Bedding/Rugs/Kitchenware/etc.), budget (string — $ / $$ / $$$ / $$$$), tier (string — free/design/studio — gates visibility), regions (array — US/Canada/EU/UK/Worldwide/Armenia), active (boolean, default true), order (number, manual sort), notes (text, optional) }. Migration: one-time seed of current 10 retailers from src/data/retailers.ts → Sanity (manual via Studio UI OR via a small migrate-retailers-to-sanity.ts script mirroring scripts/migrate-projects-to-sanity.ts; uses SANITY_WRITE_TOKEN from E:/Secrets/Website/.env). Website wiring: add fetchRetailers() to src/lib/sanity.ts (GROQ: *[_type == 'retailer' && active == true] | order(order asc, name asc) { ... }) and a RetailersContext (mirroring ProjectsContext) so the shopping-list flow reads from Sanity with retailers.ts as fallback when Sanity is unreachable. Update server-side shopping-list logic in server.ts (the Serper query construction) to read the active retailers list from a request payload / cached fetch instead of importing the hardcoded constant directly. Keep retailers.ts file as the FALLBACK (do NOT delete) — same pattern ProjectsContext uses for PROJECTS_LIST. After ship: editing retailers happens in Studio UI in seconds, no code change.","TODAY editing the live retailer catalog requires a code PR. Anahit wants Sanity-style editing (browser, click, save, live in 1 second). The XLSX master at E:/Business/Claude/Retail/Retail_Shops_Master.xlsx stays as her scouting/research workspace (529 candidate shops). Sanity becomes the CURATED LIVE CATALOG (~10-50 promoted shops). Same Sanity pattern she already uses for portfolio projects — zero new learning. Unblocks adding new retailers without engineering involvement and prepares the data model for the tier-gating (Free/Design+/Studio) work in Wave 3.",Both,P1,Done (in production),M,1,B-001 (Sanity Studio repo exists),"Owner-initiated 2026-05-31 after retail-shops Q&A. Sanity Studio repo: E:/Business/Claude/Portfolio/studio (separate from Website, deploys via `sanity deploy` independently). Sanity project id 305mgeeu, dataset production. Pattern to mirror: src/lib/sanity.ts + src/ProjectsContext.tsx (fetchProjects + bundled fallback). Out of scope for this ticket: migrating all 529 XLSX master shops to Sanity (too many, the live catalog should stay curated); building a website-side admin CRUD UI (Sanity Studio already IS the CRUD UI). Owner dispatching impl IMMEDIATELY after logging — see corresponding impl prompt in chat.",2026-07-05
,I-027,Admin observability — per-tool hourly access widget + Serper daily budget display + email-on-cap alert,Infra/CMS,"Three additions to /admin observability, dispatched together. (1) HOURLY WIDGET: new `/admin` section rendering 4 mini-bar charts (Shopping List, AI Vision, Style Quiz, Room Audit) with 24 bars each = last 24h of accesses, bucketed by hour. Data source: existing db.activityLog (filter actions: shopping_started, vision_started, quiz_started, audit_started) — NO schema change, derived view only. Hour labels in UTC (consistent with rest of /admin's UTC-keyed counters). Empty bars rendered at min-height for visual rhythm. (2) BUDGET BAR: alongside the widget, show 'Serper today: N / 200' with a progress bar — green <50%, amber 50–80%, oxide ≥80%, solid oxide at 100%. Reads db.serperUsage (already exists, updated at server.ts:~1406). Budget cap from SERPER_DAILY_BUDGET env (default 200). Structure helper as PROVIDER_DAILY_BUDGETS map keyed by provider so adding Gemini/etc. later = config-only. (3) EMAIL-ON-CAP: when a Shopping List request gets blocked by the daily_budget_exceeded code path (server.ts:~1194, ~1361, ~2135), fire a Resend email to OWNER_ALERT_EMAIL (env var, defaults to anahit@designature.studio). Subject: '[Designature] Serper daily budget hit — Shopping List auto-disabled today'. Body (plain): timestamp, current usage count, budget cap, link to /admin, link to serper.dev billing. IDEMPOTENT — track last-alert sent date in db.serperAlertSent = { date: 'YYYY-MM-DD' }; only send if today's alert not yet sent. Resets at UTC midnight with the budget. RESEND_API_KEY already in E:/Secrets/Website/.env. Re-uses the existing Resend send pattern from I-025 (VPOS confirmation email).","Owner is about to top up Serper credits + flip SHOPPING_DISABLED=false. Needs (a) real-time hourly traffic view for the first wave of users to size demand patterns, (b) at-a-glance budget remaining so she can top up before users hit 'offline', (c) automatic email alert when the cap is hit so she doesn't need to babysit /admin. Stack already has everything — Resend wired, activityLog populated, serperUsage tracked. Just plumbing.",Both,P1,Done (in production),M,1,"I-009, I-010, I-016, I-025","Discovered 2026-05-31 when owner asked for hourly visibility ahead of Serper top-up. Existing observability had per-day granularity only (apiCounters + sparklines) — no per-hour. activityLog has full ISO timestamps so the derived view is 2h of work. Budget bar reuses serperUsage (already tracked). Email alert is the safety net — without it owner has to manually monitor /admin. OWNER_ALERT_EMAIL added as env var; defaulting to anahit@designature.studio. Dedup state (serperAlertSent) prevents email spam — one alert per UTC day max.

[2026-07-12] Shipped PR #49 (Acquisition wired to GA4 + Search Console) + PR #50 (AI Assistant tile).",2026-06-16
,M-001,Mobile UX audit,Mobile,"Walk through every page on real devices (iPhone + Android). Note touch targets, hero scaling, AI Studio flows on small screens.",Lots of design discovery happens on phone.,Both,P1,Idea,M,1,,"SCHEDULED 2026-09-06 as the first task of M-004, week of 2026-09-28.",2026-06-16
,M-002,Native mobile apps (iOS + Android) — phased,Mobile,"Long-term: Designature Studio mobile apps in App Store and Google Play. PHASED APPROACH: (1) Make web a strong PWA first — installable, offline-capable, push notifications. (2) Wrap PWA via Capacitor/PWABuilder to ship to both stores quickly (~2 weeks). (3) After 6+ months of app usage data, decide whether to build a true native (React Native / Flutter) app for features that need real native APIs — AR room scanning, native camera with depth, deep iOS/Android integration. Reference: Spacejoy is mobile-only and does similar AI interior-design work — demonstrates mobile market viability.","Mobile-first audience for interior design is large (Pinterest, IG, Houzz traffic patterns). Native app lets us own a homescreen icon and use device APIs the web can't. But premature without paid-tier revenue + engagement data — would be guessing which features matter.",Option 2,P3,Idea (long-term),XL,Future,"I-004, VF-002",Logged 2026-05-01 after owner referenced Spacejoy. PRECONDITIONS before starting: (a) Stripe paid tiers live + 50+ active subscribers; (b) 3-6 months of mobile usage data on web; (c) AI Studio UI redesigned (VF-002); (d) clear product-market fit signals. Apple Developer $99/yr + Google Play $25 one-time required at ship time. 2026-09-06: superseded for now by M-004. The owner chose the installable app with push as phase 1. Store wrap and native stay parked until notification opt in and retention data exist.,2026-06-16
,P-001,"SEO mechanical layer — sitemap, robots, canonical strategy",Performance/SEO,"REFOCUSED 2026-05-04. The mechanical pieces of SEO: sitemap.xml (auto-generated from routes), robots.txt, canonical-URL strategy across www/app surfaces (extends existing SiteCanonical from I-001). Per-page <title>/meta moved to S-007 (content layer).",Required for crawlers + indexers to discover and parse the site correctly. Boring but foundational.,Option 3,P1,Idea,S,2,S-007,"Refocused 2026-05-04 from generic 'SEO basics' to mechanical-only — content layer (titles + schema) is now S-007, image SEO is its own item. P-001 stays Phase 2 since www is now canonical and the existing SiteCanonical works.",2026-06-16
,P-002,Image optimization audit,Performance/SEO,"Audit Cloudinary delivery: AVIF/WebP, responsive srcset, lazy loading, proper sizing. Hero images especially.",Portfolio-led site lives or dies by image performance.,Both,P1,Idea,M,2,,,2026-06-16
,P-003,Core Web Vitals check + budget,Performance/SEO,"Run Lighthouse on /, /portfolio, /portfolio/:id. Set budgets (LCP < 2.5s, CLS < 0.1). Fix worst offenders.",SEO and conversion both correlate with CWV.,Both,P2,Idea,M,2,P-002,,2026-06-16
,P-005,Image SEO — alt text discipline + per-portfolio-project schema,Performance/SEO,"Every image gets descriptive alt text (the design pattern, materials, style, location — 'Modern apartment living room with cobalt accents · Designature Studio renovation in Yerevan'). Per-portfolio-project Image schema (JSON-LD) so portfolio renders show in image search. Pattern is established once, applied everywhere via the ResponsiveImage component (P-004).","Image search is a major lead channel for portfolio sites. Without alt text discipline, the studio's renders are invisible to Google Images. Easy to do at build time, painful to retrofit.",Option 3,P1,Idea,M,1,"P-004, S-007",Created 2026-05-04 after owner asked about SEO during S-013 prep. Pairs with S-007 (content SEO) and S-013 (where alt text discipline starts). Long-term: integrate alt text generation into AI Vision and Sanity portfolio uploads.,2026-06-16
,S-002,Confirm header nav order: Portfolio · Services · Studio · AI Studio · Pricing,Strategy,Lock visible nav order to put designer-side first. AI Studio remains visible (4th).,Reinforces Option 3 hierarchy at the chrome level.,Option 3,P0,Approved,S,1,,Audit current Header.tsx vs this order.,2026-06-16
,S-006,Footer lead with designer credentials,Strategy,Footer top: studio contact + Calendly. AI Studio links present but secondary.,Reinforces Option 3.,Option 3,P1,Idea,S,1,,,2026-06-16
,S-008,Bio/about prominence on home or about page,Strategy,Visible Anahit-the-designer bio block (photo + 2–3 sentences + 'Meet me' link to /studio).,Humanizes the brand. Option 3 trust-building.,Option 3,P1,Idea,S,1,S-004,,2026-06-16
,S-009,Copy audit — write headlines that survive both positions,Strategy,Review all marketing copy. Avoid lock-in phrases. Prefer dual-meaning lines like 'Designed by us. Visualized by you.',Reduces editorial work at swap time.,Foundation,P1,Idea,M,1,,,2026-06-16
,S-013,Home page narrative restructure (umbrella),Strategy,"LOCKED 2026-04-30 with mockup at E:\Business\Claude\WEBSITE-PLAN-home-mockup.html. Six-section narrative: (1) Hero text band — eyebrow 'ONLINE INTERIOR DESIGN STUDIO' (no 'Yerevan' — that lives in footer) + 'Bring us a space. We'll bring it to life.' + tagline 'Apartments. Houses. Commercial...'. (2) Full-width hero image band height: clamp(440px, 80vh, 900px) — fluid for zoom + viewport — with three category renders (Apartments / Houses / Commercial), each captioned. HOVER-TO-EXPAND: hovering any panel grows it to ~6× the others, others dim and shrink to slim accents (smooth 600ms transition). NO CTAs in hero (header carries them). (3) How it works — 4-step interior-design process (Explore → Consult → Design → Realize) with AI tools woven into Explore step. ENDS with centered CTA 'See what you'll receive →' with sub-line 'Sample design brief · PDF' — sample asset to be created separately. (4) Featured Work — asymmetric portfolio grid (1 large feature + 4 smaller). (5) AI tools section — DYNAMIC TILES: each tile has stacked before/after layers with crossfade (7s loop) + Ken Burns slow zoom (20s). PRODUCTION: each tile must cycle through 3-4 different before/after room examples, not just one pair. Right side: copy + tool list + 'Try AI free' CTA. (6) Closing — 'Two ways forward.' + two equal-weight pill buttons (Try AI free / Book a consultation). LOGO refined: thin outlined square + cobalt dot + 'DESIGNATURE' only (no Studio). HEADER: no Sign-in, just Try AI free + Let's Talk with arrows. SPACING: section padding 96px top/bottom (not 120); section-head margin-bottom 64px; closing 112px; .btn (action CTAs in content) at 14px font-size with 16x26 padding; .label eyebrows 15px; tool-list tags 13px. FOOTER: NOT in scope. Existing site footer renders unchanged (S-006 covers footer redesign separately).","Biggest visible UX win for Option 3. Answers visitor questions in 5 seconds: what is this · who's it for · what can I do · how do I start. Encapsulates S-001 (hero), S-005 (AI teaser), and adds new sections.",Option 3,P0,Approved,XL,1,"VF-001, P-004",Umbrella for S-001 (hero) and S-005 (AI teaser) — both folded in. Mockup is the visual + structural reference. Implementation prompt should ship as a single PR for visual coherence.,2026-06-16
,S-015,Build actual dropdown menu for AI Studio nav,Strategy,Replace the plain 'AI Studio' link with a real dropdown (chevron ▼). Menu lists: Style Quiz · AI Vision · Shopping List · Room Audit · (Design Brief and Cultural Advisor as 'Soon' or hidden). Each item routes appropriately. Decisions still open: hover vs click trigger; mobile UX pattern; visual design (simple list vs richer card panel).,Surfaced 2026-05-01 by S-010 session: the original dropdown assumption was wrong — there's no menu today. Building one is its own design task. Adds discovery surface for AI tools without overloading any single CTA.,Both,P2,Idea (refine),M,1,S-010,Owner agreed 2026-05-01 to ship S-010 (rename only) without blocking on this. Address dropdown design carefully in dedicated session.,2026-06-16
,S-032,Rename /ai-concepts route to /ai-studio,Strategy,"Route rename: /ai-concepts → /ai-studio. Touches React Router config in App.tsx, any hardcoded internal navigation, plus a 301 redirect from /ai-concepts → /ai-studio for SEO continuity (any external bookmarks or shared links). After ship, also update Sanity content if it references the old path; update sitemap.xml when one exists.",Owner request 2026-05-01: route URL should match the renamed nav label (S-010). Better SEO + better UX. Today the nav says 'AI Studio' but URL still says /ai-concepts — minor mismatch worth fixing.,Option 3,P2,Approved,S,1,S-010,"Owner approved 2026-05-01. Not blocking Phase 1A — can ship in a later sub-phase. Renumbered S-016 → S-032 on 2026-09-05 (duplicate-ID cleanup; canonical S-016 = 'Strategy north star' (row 56), referenced in memory + AI-Studio-tools-inventory).",2026-06-16
,S-016,Strategy north star — full self-serve design platform vision,Strategy,Owner vision (2026-05-04): map every deliverable in the project package to an AI self-serve equivalent. Style Quiz → Discover. Floorplan Generator → Plan. Lighting + Electrical → Plan. AI Vision → Visualize. Shopping List + Budget → Specify. Installation Guides + 3D Walkthrough + Renovation Sequencer → Realize. Goal: users can do their entire interior design project end-to-end without hiring a designer. Studio monetizes via subscription tiers (Free / Design / Studio) AND consulting upgrades for clients who want human refinement on AI output.,This is the Option 2 future stated explicitly. Every AI card is a step toward it. Helps prioritize: cards that complete the journey > cards that decorate it.,Option 2,P1,North star,XL,Future,,"Multi-year vision. Drives tier strategy. Reference when prioritizing AI feature work — does it advance the self-serve loop, or is it a side feature?",2026-06-16
,S-017,Style Quiz popup — delayed conversion-driver (deferred from PR #5),Strategy,"12-second delayed popup inviting visitors to take the Style Quiz. Suppressed on /ai-concepts (where the quiz already lives). Persisted via sessionStorage — only shows once per visit. Dismissible via X / overlay click / ESC. Bilingual EN + AM. Original PR #5 (claude/objective-banzai-1a6286, ~113 lines, src/components/StyleQuizPopup.tsx + 2 lines in App.tsx) was closed 2026-05-05 because it conflicted with A-001 changes after sitting open 2 weeks. Rebuild fresh when revisited.","Conversion-driver for the Style Quiz funnel. Style Quiz is the entry point of the Discover phase — getting more visitors into it warms them for the consultation. Polite UX (12s delay, dismissible, once-per-session) so it doesn't feel spammy.",Both,P3,Idea (deferred),M,Future,,Closed PR #5 was rebuildable from scratch in ~1 hour if/when needed. Reference the closed PR's branch on GitHub history (claude/objective-banzai-1a6286 — deleted 2026-05-05 but viewable via git log archaeology if needed). Reconsider after S-013 + S-014 ship and we have engagement data on Style Quiz conversion rates.,2026-06-16
,S-018,"SEO Phase 2 — schema expansion (SoftwareApplication, Product, CreativeWork, Breadcrumb, FAQ)",Strategy,"Phase 2 of S-007. Add to the existing @graph: (1) SoftwareApplication JSON-LD per AI tool (Vision, Room Audit, Style Quiz, Color, Multimodal Search, Shopping List) — enables rich results for 'AI interior design tool' queries. (2) Product JSON-LD for the Installation Guides booklet (when shipped). (3) CreativeWork JSON-LD per portfolio project. (4) BreadcrumbList on every page. (5) FAQPage on /faq for FAQ rich results.",Phase 1 (S-007) lands the foundations. Phase 2 is where rich results start appearing in SERPs. SoftwareApplication is the highest-leverage one — surfaces the AI tools globally for 'tools' searches.,Both,P1,Idea,M,2,"S-007, AI-021",Phase 2 SEO. Documented in WEBSITE-PLAN-SEO-roadmap.md. AI-021 dependency so AI Studio reorganization is in place before tagging tools with schema. Logged 2026-05-08.,2026-06-16
,S-019,SEO Phase 2 — server-side meta injection in server.ts,Strategy,"Inject per-route <title> + <meta> + JSON-LD into index.html on the server before serving — required so social crawlers (Facebook, LinkedIn, WhatsApp, Slack, Twitter) get the right OG image when a route is shared. Without this, every shared link shows the home-page OG. Reads from the same seo-defaults.ts constants the React components use. Estimated ~80 LOC. Folds the older P-006 (og:url) — that work is fully covered by this server-side approach.","SPA limitation: client-side meta works for Google (which now executes JS) but social crawlers don't run JS. If users share a /pricing link on WhatsApp, they should see Pricing OG, not Home OG.",Option 3,P1,Idea,M,2,S-007,Phase 2 SEO. Ships independently of AI-021 (no UI dependency). Logged 2026-05-08.,2026-06-16
,S-020,SEO Phase 2 — dynamic OG image generator (Cloudinary-driven),Strategy,Per-page OG images generated dynamically via Cloudinary's image transformation API. Per-portfolio-project: composite project hero + project title overlay. Per-AI-tool: composite tool screenshot + tool name + studio branding. Per-page-default: brand fallback. No separate service needed — all done via Cloudinary URL transformations.,"Static OG images per page get stale; dynamic generation scales with content. Especially important for portfolio (a new project should auto-get an OG image, not require manual asset work).",Both,P2,Idea,M,2,"S-007, P-004",Phase 2 SEO. Optional but recommended — significant scale advantage over hand-built OG composites. Logged 2026-05-08.,2026-06-16
,S-021,SEO Phase 3 — i18n (AM hreflang + translated meta),Strategy,Armenian translations of all titles + meta descriptions. <link rel='alternate' hreflang='hy'> tags pointing to Armenian variants. Sitemap variants per language. Optionally: Russian variants (Yerevan business context).,"When Armenian content strategy is real (translated portfolio descriptions, translated AI tool UI), SEO needs to follow. Until then, premature.",Both,P3,Idea,M,Future,I-003,Phase 3 SEO. Gated on I-003 (Sanity i18n). Don't ship hreflang pointing nowhere. Logged 2026-05-08.,2026-06-16
,S-022,SEO Phase 3 — Reviews / AggregateRating schema from testimonials,Strategy,"Pull existing testimonials into structured Review + AggregateRating JSON-LD. Surfaces star rating in Google results, lifts CTR. Requires testimonial data shape to include reviewer name + rating value (or assume 5★ where unrated).",Star ratings in SERPs visibly increase clicks. Testimonials already exist on site — wasted SEO signal until structured.,Both,P2,Idea,S,Future,S-018,"Phase 3 SEO. Small effort, high impact. Verify all reviews are real before publishing structured data (Google penalizes fake reviews aggressively). Logged 2026-05-08.",2026-06-16
,S-023,SEO off-site — Google Business Profile setup (owner-driven),Strategy,Anahit creates and verifies a Google Business Profile for Designature Studio. Reference the same @id as the LocalBusiness schema on the website (https://www.designature.studio/#business) so Google links the two as one entity. Required for local pack inclusion in 'interior designer Yerevan' searches. Owner-driven — engineering provides the @id reference value and confirms website signal alignment.,"Local pack ranking (top-3 results above the map) is the highest-converting SEO surface for local services. Without GBP, the LocalBusiness JSON-LD is half-effective.",Option 3,P1,Done - draft (awaiting owner video verification),S,1,S-007,"Owner-driven (not engineering ticket). Quick win. Logged 2026-05-08 — owner asked for collaborative help on off-site SEO.

[2026-07-12] GBP draft profile created 2026-07-12 via Chrome MCP session. Yerevan SAB + 11 services + hours + description + phone/website. NOT publicly visible until owner records the video verification (~60s from desk, mostly screen). See project_gbp_setup.md memory.",2026-06-16
,S-024,SEO off-site — backlink + content + social playbook (recurring/ongoing),Strategy,"Ongoing playbook for off-site SEO signals. (1) Backlink outreach: target design publications, AI tool roundups, Yerevan business directories. (2) Content marketing: blog on the website with case studies, design process posts, AI tool tutorials — written for both local and global keywords. (3) Social SEO: Pinterest (huge for interior design), LinkedIn for B2B/contractors, expand current Instagram + Facebook activity. Owner asked 2026-05-08 for guided/collaborative help — recurring monthly review using GA4 + Search Console data (I-007).",On-site SEO (S-007 series) is necessary but not sufficient. Off-site signals (links + brand mentions + social engagement) drive most of the ranking weight for competitive queries like 'AI interior design tool'.,Both,P1,Idea (recurring),M (ongoing),Future,"I-007, S-007",Recurring/ongoing rather than ship-and-done. Owner-driven with collaboration — monthly cadence using analytics tools (I-007). Logged 2026-05-08.,2026-06-16
,S-025,Per-page document.title for every route (GA4 Page Title accuracy + SEO),Strategy,"Today some routes set document.title (via per-page useEffect), some inherit the home page's title — meaning GA4's Page Title dimension reports the home title for most page_view events fired by I-022, and the browser tab/title-bar always reads 'Designature Studio | Interior Design Yerevan' regardless of route. Fix: small per-page useEffect that sets document.title from a route-specific string when the page mounts (and resets to the default on unmount if needed). 13 routes today — see src/App.tsx:96-111. Suggested titles: '/portfolio' → 'Portfolio | Designature Studio', '/pricing' → 'Pricing | Designature Studio', etc. Also enables S-007 follow-up work (per-route <meta> + Open Graph) to use the same source of truth.",Two wins: (1) GA4 Page Title dimension becomes meaningful — Top Pages report can distinguish '/portfolio' from '/pricing' by title not just path; (2) browser tab + bookmarks + history all show the right page name. Tiny diff but unblocks a lot of small downstream wins.,Both,P2,Idea,S,Future,"I-022, S-007",Discovered while scoping I-022 (2026-05-24). Owner agreed I-022 ships without it (page_view captures pathname correctly regardless of title) and S-025 is the follow-up. Consider folding into next S-007 phase if scope-adjacent.,2026-06-16
,S-026,Paid consultation — decide WHERE on the website to surface it (Services / Pricing / Header / etc.),Strategy,"Today every booking button on the site (Header 'Let's Talk', Home ClosingBand, Services, WhyChooseUs, AI Studio x3, Pricing CTABanner) points to the SAME free Calendly URL (calendly.com/designature-studio-us/free_consultation). Need to scope a SECOND surface for a PAID consultation product (60-min video walk-through + written takeaway, global audience, productized advice — distinct from free discovery call which is a sales funnel for full-project commissions). Decisions to lock: (1) Which page/component(s) host the paid CTA — likely Services + Pricing only, NOT global header (header stays free funnel). (2) Visual hierarchy when both appear — free = primary filled button, paid = secondary outline/text-link beside it OR on its own card. (3) Copy positioning — name by OUTCOME not price (e.g. 'Discovery Call' free vs 'Design Consultation' paid). (4) Differentiation copy in one line each ('see if we're a fit' vs 'expert direction you can run with yourself'). (5) Mobile layout. (6) Whether AI Studio surfaces a third CTA option specific to AI users (e.g. 'Get human help with your AI concept'). Pairs with S-027 (product definition) and Wave 3 (e-commerce) for full integration; can validate sooner via Stripe Payment Links (one-time, no website code change).","Right now there's only one booking action on the whole site = free Calendly. A paid consultation captures a different audience (global DIY-minded vs local project-ready) and a different revenue stream (productized advice vs full-project funnel). Aligns with new 'Online interior design studio' positioning (B-005) — paid video consultations are the perfect online-studio scalable product. Without deciding placement, the paid offering can't surface without breaking the current 'one clear action' funnel discipline.",Both,P2,Idea (planning),S,Future,"S-027, I-004",Owner-initiated discussion 2026-05-24 after B-005 mockup work. All current booking buttons audited and confirmed → single free Calendly URL. Audience-split logic locked: free = local-ish project-ready prospects (sales funnel for full studio engagements); paid = global DIY-minded buyers (productized advice with takeaway). Visual & positioning rules drafted: never two equal-weight buttons; primary filled / secondary outline; name by outcome not price; subtitle one-liner per CTA explaining intent. NEXT: pick placements (Services + Pricing as most likely) and prepare mockup. Mockup work blocked until S-027 product definition lands. Full e-commerce integration in Wave 3 (I-004 payments); interim validation via Stripe Payment Links does NOT require this ticket to be impl'd.,2026-06-16
,S-027,"Paid consultation — define WHAT'S INCLUDED (duration, format, takeaway deliverable, price, booking flow)",Strategy,"Product definition for the paid consultation offering. Without a clearly-scoped product, paid = 'expensive Calendly call' and free will cannibalise it every time. Decisions to lock: (1) Duration — 45 / 60 / 90 min? (2) Format — Calendly + Zoom/Google Meet; pre-call homework form (photos, floor plan, wishlist)? (3) THE TAKEAWAY — what does the buyer walk away with? Options: written action plan (PDF), visual layout sketch, palette + material direction, shopping direction (3-5 products per room), or a combination. THE TAKEAWAY IS WHAT JUSTIFIES THE PRICE — without it, paid has no edge over free. (4) Price point — what's the market rate for online interior consultation with takeaway? Likely $75–$200 range. (5) Anahit's time budget — how much takeaway prep AFTER the call is sustainable per booking? (6) Cancellation / rescheduling / refund policy. (7) Booking flow validation path — Stripe Payment Link sent post-Calendly confirmation (manual but works without code changes) → validates demand before any website-side checkout build. (8) Languages — English only or EN + AM? (9) Whether to bundle (e.g. 3-room package at discount).","Defining the product is the precondition for both pricing it and selling it. Owner explicitly committed to delivering a takeaway and validating demand before scaling. Wrong takeaway = no paid bookings; right takeaway = a real revenue stream that scales globally without per-project labor. This is the FOUNDATIONAL decision; placement (S-026), pricing-page surface, and Wave 3 e-commerce checkout all depend on it.",Both,P2,Idea (planning),S,Future,,"Owner-initiated 2026-05-24. Validation plan: list paid consultation as a separate Calendly event type ('Design Consultation — 60 min · $X · includes written plan'), send Stripe Payment Link in confirmation email (zero code), pay-before-call workflow, run 5–10 bookings to learn what takeaway buyers actually value + what price holds. Use the learnings to inform S-026 (placement) + Wave 3 e-commerce checkout build. The 'audience split' (local project-ready free vs global DIY paid) is documented in S-026 — read that first.",2026-06-16
,S-028,Testimonials shuffle bug — biased Math.random sort + reduce visible from 4 to 3,Strategy,"Bug + small UX tightening on the home-page Testimonials section. (1) BIAS BUG: src/components/Testimonials.tsx:29 uses `[...data.testimonials].sort(() => Math.random() - 0.5)` to shuffle — this is the well-known biased-shuffle anti-pattern (Array.sort comparators must return -1/0/1 deterministically; using a random sign produces a statistically biased order where earlier-indexed items tend to stay earlier). Replace with a proper Fisher-Yates shuffle: iterate from end, swap each element with a random earlier (or same) index. (2) PAGE_SIZE: change const PAGE_SIZE = 4 → 3. (3) GRID: change `grid-cols-1 md:grid-cols-2 lg:grid-cols-4` → `grid-cols-1 md:grid-cols-2 lg:grid-cols-3` (line ~68 + ~74) so the layout matches 3 cards on desktop. (4) Pagination math (pageCount, prev/next, page indicator) keeps working unchanged — derived from `Math.ceil(all.length / PAGE_SIZE)` which auto-adjusts (10 testimonials / 3 per page = 4 pages instead of 3, which actually makes ALL testimonials reachable via pagination — currently with 10/4 = 3 pages, the last page has 2 cards which is a layout gap anyway).","Owner verified 2026-05-31: 10 testimonials in the Sheet all approved, but reloading the home page shows nearly the same 4 testimonials each time. Root cause = the biased sort. Plus owner wants 3 visible at a time (not 4) for cleaner grid + faster perceived rotation. Visible quality issue — testimonials are social proof at the top of the conversion funnel.",Both,P1,Dropped - live Voices.tsx does not shuffle,XS,1,,"Tiny fix — single file (src/components/Testimonials.tsx), ~15 LOC change, ~20 min impl + verify. No backend changes; server-side caching (10-min TESTIMONIALS_CACHE_MS) and Apps Script pipeline both unchanged. The client-side shuffle runs on every component mount, so a fixed Fisher-Yates means each page reload genuinely re-randomises which 3 of N appear first. Owner dispatching impl immediately — corresponding impl prompt in chat.

[2026-07-12] DROPPED 2026-07-12: verified - home/Voices.tsx renders 3 static i18n quotes (home.voices.q1/q2/q3), no shuffle. Testimonials.tsx (which had the Math.random bug) is dead code (no imports).",2026-06-16
,SL-001,retailers.json — retailer DB foundation,Shopping List,"EXPANDED 2026-05-04. Build retailers.json from the Excel files in E:/Business/Claude/Retail/inputs/. Schema fields per retailer: name, country (US/CA/EU/AM), regions, free-tier flag, design-tier flag, studio-tier flag, search-domain (for Serper), website, logo URL, optional notes. Replace hardcoded ALL_SHOPS in server.ts with reads from this DB. This is the foundation that every region launch (Canada, EU, Armenia) plugs into.","Without this, every new country requires editing code instead of adding rows. Foundational for tier differentiation, region routing, and the per-tier shop-pool differentiation in the pricing matrix.",Both,P1,Idea,M,1,,Owner reaffirmed 2026-05-04 as the prerequisite for SL-008 (Canada launch). Schema must support flagging shops as Free/Design/Studio so paid tiers see expanded pools (per shopping-list-strategy memory).,2026-06-16
